a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
27	48	666077	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.459721	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	49	691955	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.477582	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	50	678502	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.468297	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	51	658543	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.454521	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	52	651951	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.449972	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	53	656425	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.453060	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	54	693087	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.478363	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	55	685784	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.473323	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	56	672864	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.464406	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	57	659449	0.776138	0.000063	0.000000	0.080559	0.000000	0.055655	0.000001	0.087584	0.000000	0.000032	0.143240	0.168144	0.000016	0.000000	0.000000	0.087584	0.000000	0.087584	0.155724	-0.012452	-1518274.519956	66	-1	0.455147	5.065682e-01,1.288469e-01,4.098699e-02,1.351741e-01,7.129696e-02,2.591026e-02,3.994751e-02,2.357532e-02,2.769377e-02	1.135175	0.180754	-0.198579	-1661856.528657	10
