ID,Box,Year,Sex,Date,Population,Location,isotope data?,Alternate ID,notes
088,AG,2017,male,spring,ENA,"near Austin, TX",no,T234,
089,AG,2017,male,spring,ENA,"near Austin, TX",no,T236,
090,AG,2017,female,2017-04-16,ENA,"near Austin, TX",no,T201,
091,AG,2017,female,spring,ENA,"near Austin, TX",no,T304,"reared from caterpillar, OE+, possibly non-migrant?"
092,AG,2017,male,2017-04-19,ENA,"near Austin, TX",no,T230,
093,AG,2017,female,2017-04-14,ENA,"near Austin, TX",no,T216,
094,AG,2017,female,2017-04-16,ENA,"near Austin, TX",no,T206,
095,AG,2017,male,2017-04-19,ENA,"near Austin, TX",no,T229,
096,AG,2017,male,2017-04-14,ENA,"near Austin, TX",no,T213,
097,AG,2017,male,2017-04-15,ENA,"near Austin, TX",no,T205,
098,AG,2017,male,2017-04-14,ENA,"near Austin, TX",no,T212,
099,AG,2017,*female,*4/15/2017,ENA,"near Austin, TX",no,T010,*Danaus gilippus
100,AG,2017,male,2017-04-14,ENA,"near Austin, TX",no,T210,
101,AG,2017,male,2017-04-14,ENA,"near Austin, TX",no,T211,
102,AG,2017,female,2017-04-14,ENA,"Dallas, TX",no,NA,
103,AG,2017,male,2017-04-18,ENA,"near Austin, TX",no,T228,
104,AG,2017,male,2017-04-15,ENA,"Riesel, TX",no,T220,
105,AG,2017,male,2017-04-15,ENA,"near Austin, TX",no,T225,
106,AG,2017,*female,spring,ENA,"near Austin, TX",no,NA,*Danaus gilippus
107,AH,2017,male,2017-04-19,ENA,"near Austin, TX",no,T231,
108,AH,2017,female,2017-04-18,ENA,"near Austin, TX",no,T228,
109,AH,2017,male,2017-04-15,ENA,"near Austin, TX",no,T218,
110,AH,2017,male,spring,ENA,"near Austin, TX",no,T240,
111,AH,2017,female,spring,ENA,"near Austin, TX",no,T235,
112,AH,2017,male,spring,ENA,"near Austin, TX",no,T237,
113,AH,2017,female,spring,ENA,"near Austin, TX",no,NA,
114,AH,2017,female,spring,ENA,"near Austin, TX",no,T233,
115,AH,2017,male,spring,ENA,"near Austin, TX",no,T238,
116,AH,2017,male,2017-04-15,ENA,"near Austin, TX",no,T222,
117,AH,2017,female,2017-04-15,ENA,"Riesel, TX",no,T221,
118,AH,2017,male,2017-04-14,ENA,"near Austin, TX",no,T214,
119,AH,2017,male,2017-04-16,ENA,"near Austin, TX",no,T200,
120,AH,2017,male,2017-04-14,ENA,"near Austin, TX",no,T209,
121,AH,2017,female,2017-04-18,ENA,"near Austin, TX",no,T204,
122,AH,2017,female,2017-04-14,ENA,"near Austin, TX",no,T208,
123,AH,2017,male,2017-04-15,ENA,"near Austin, TX",no,T219,
124,AH,2017,male,spring,ENA,"near Austin, TX",no,T239,
125,AH,2017,female,2017-04-15,ENA,"near Austin, TX",no,T224,
126,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.1,
127,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.2,
128,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.3,
129,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.4,
130,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.5,
131,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.6,
132,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.7,
133,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.8,
134,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.9,
135,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.10,
136,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.11,
137,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.12,
138,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.13,
139,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.14,
140,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.15,
141,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.16,
142,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.17,
143,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.18,
144,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.19,
145,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.20,
146,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.21,
